Nature of complaint,Category
cut mark and blackish oil,Others
"damage pressure guage and suction, discharge line vibration",Sound & Vibration
discharge pressure adaptor m12  threeding damage,Others
piston found crack,Others
guage panal fitting leakage,Leaks (General)
discharge temp.sensor failure,KRMS & Sensors
kcx oil pump low oiltang broken,Oil Pump
excessive heat,Cylinder & Overheating
oil pump not working,Oil Pump
pump manifold leakage,Leaks (General)
oil carry over abnormal sound,Sound & Vibration
oil carry over & knocking sound,Sound & Vibration
kcx manifold bolt broken,Others
overheating of compressordel valve leakage,Cylinder & Overheating
oil carry over & abnormal  sound,Sound & Vibration
abnormal noisedel valve spring broken,Sound & Vibration
float valve of oil seprator is not working,Others
abnormal noisedel valve kit broken,Sound & Vibration
abnormal noisecylinder liner worn out,Sound & Vibration
abnormal noisepiston ring set worn out,Sound & Vibration
krms display not working,KRMS & Sensors
discharge stop valve issue,Valves & Solenoids
leakage observed from tah8 valve,Valves & Solenoids
connecting rod nut loose & step on del valve kit,Valves & Solenoids
loading/unloding issue,Others
vibration issue,Sound & Vibration
manifold bolt broken,Others
oil differtial pressure,Others
crack in oil pimp body,Others
l.p cut out not functioning,Electrical & Instruments
minor leakage from stop valve,Valves & Solenoids
dv assly leakage,Valves & Solenoids
sensor error issue,KRMS & Sensors
abnormal noise in single piston,Sound & Vibration
pressure guage leak,Leaks (General)
solenoid valve plunger leak,Valves & Solenoids
high oil carry over & shaft seal lekage,Shaft Seal
abnormal noise suc spring stuck,Sound & Vibration
overheating & knocking sound.,Sound & Vibration
krms panel problem,Electrical & Instruments
filter housing damaged/crack,Leaks (General)
24v not receiving from smps card,KRMS & Sensors
danfoss make stop valve arrow for flow direction is at opposite side,Valves & Solenoids
discharge temp sensor malfunction,KRMS & Sensors
coupling disk pack broken,Coupling & Drive
required 24 vdc against 230 v,Others
krms hmi display not working,KRMS & Sensors
manufold fitting leakage,Leaks (General)
abnormal noise dv leak,Sound & Vibration
shaft seal leakager22,Shaft Seal
oil pressure issuetang broken.,Oil Pump
knocking sound and overheating,Sound & Vibration
vbelt broken,Coupling & Drive
krms issuesuction temp sensor working.,KRMS & Sensors
krms issuesuction temp sensor cable not working.,KRMS & Sensors
discharge temperature sensor broken,KRMS & Sensors
kcx pump  tang broken,Others
oil pressure regulator issue,Others
purging issue in oil pump,Oil Pump
solenoid valve assembly malfunction. no type,Valves & Solenoids
low oil pressurebearings wornout,Oil Pump
welding leakage,Leaks (General)
tempearature sensor error,KRMS & Sensors
oil separator float valve problem.,Valves & Solenoids
op pressure & pressure gauge switcmalfunctioning,Electrical & Instruments
compressor rusty,Others
oil pump isse,Oil Pump
loading issue,Loading & Unloading
overheated & abnormal sound,Sound & Vibration
filter housing crack,Leaks (General)
shaf seal leakage,Shaft Seal
filterhousing bolt broken,Others
krms pressure transducer malfuctioning,KRMS & Sensors
solenoid leakage from bottom knob,Valves & Solenoids
sv coil burnt,Valves & Solenoids
high oil consumption& shaft seal leakage,Shaft Seal
discharge temperature sensor fail,KRMS & Sensors
intermediate pressure high & compressor overheat,Cylinder & Overheating
base frame foundation hole missing,Others
driven gear tang broken,Oil Pump
oil pressure problem due to oil pump tang brocken,Oil Pump
pressure gauge swelled.,Electrical & Instruments
weld leak at discharge pipe,Leaks (General)
heating and knocking sound in cylinder.,Sound & Vibration
shaft seal leakage due to oring fail,Shaft Seal
lp pressure switch malfulctioning,Electrical & Instruments
pcx2 pump driving gear tang broken,Others
pressure gauge glycerin leakage,Electrical & Instruments
kc pump  drive gear tang broken,Oil Pump
crank shaft damaged at taper portion.,Major Mechanical
pressure gauge get swelled.,Electrical & Instruments
kc pump  low oil pressure.,Oil Pump
kcx pump  opr not working,Electrical & Instruments
discharge temperature alarm.,Others
high oil consumptionvld oring,Oil Consumption & Carryover
high oil consumptionorv malfuction,Oil Consumption & Carryover
kcx manifold fitting leak,Leaks (General)
bearing cover fitting leak,Major Mechanical
krms  sensor not working,KRMS & Sensors
kc pump  low oil pressure issue,Oil Pump
pressure gauge damaged.,Electrical & Instruments
krms  smps & pt malfuction,KRMS & Sensors
pcx2 unloading problem,Loading & Unloading
abnormal noise and oilleakage,Sound & Vibration
KC Pump  Low oil pressure,Oil Pump
Safety valve spring damaged,Others
Pressure gauge error,Electrical & Instruments
High oil consumption ORV Leak,Oil Consumption & Carryover
KRMA  Discharge sensor not working,KRMS & Sensors
Oil pressure switch malfunctioning,Electrical & Instruments
Gauge board  Fitting leakage,Electrical & Instruments
KC Pump  Tang broken,Others
PCX Pump  Drive shaft tang broken,Others
pressure switch malfunctioning,Electrical & Instruments
KCX Oil pump low oil pressure issue,Oil Pump
Solenoid valve leakage,Valves & Solenoids
High vibration at suction strainer,Sound & Vibration
Painting issue,Others
KRMSPressure sensor cable issue.,KRMS & Sensors
Oil separator float valve not working,Valves & Solenoids
KRMS  Discharge Pressure Alarm,KRMS & Sensors
Cylinder Overheating DV Leak,Cylinder & Overheating
"Fitting LeakPipe bend, disch. filter to shaft seal cover found leak",Shaft Seal
Knocking Sound DV Leak,Sound & Vibration
Safety valve leak Suction Pressure High,Valves & Solenoids
KCX  Pump Element damaged.,Oil Pump
KCX Pump  Low oil pressure,Oil Pump
Rusty & Paint issue,Others
Oil filter manifold M10 bolts broken,Others
Oil Black within 3 Hrs,Oil Consumption & Carryover
KCX Pump low oil pressure issue,Oil Pump
cylinder overheating  HP,Cylinder & Overheating
KRMS Suction temperature sensor malfunction.,KRMS & Sensors
Solenoid spindle damaged,Valves & Solenoids
Knocking sound HP Piston Crack,Sound & Vibration
Oil Pressure Issue,Oil Pump
KRMSDischarge temp sensor faulty.,KRMS & Sensors
KRMS  Controller issue.,KRMS & Sensors
LP switch malfunctioning,Others
GAUGE LEAK INSIDE,Electrical & Instruments
KRMS Temp sensor malfuction,KRMS & Sensors
KRMS controller problem,KRMS & Sensors
KCX Pump oil pressure issue,Oil Pump
KC Pump drive gear shaft broken,Oil Pump
